Name,Team,Pos,Age,G,GS,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Fmb,FmbLost,Year,games_played_pct,games_started_pct,ProBowl,AllPro,Touches,Rec_Rec_per_game,Rec_Yds_per_game,Rec_TD_per_game,Fmb_per_game,FmbLost_per_game,Touches_per_game,Points_half-ppr,PPG_half-ppr,player_display_name,season,week,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_jersey_number
Brenton Strange,JAX,TE,24.0,17.0,10.0,40.0,411.0,2.0,10.275,1.0,1.0,2024,1.0,0.5882352941176471,0.0,0.0,40.0,2.3529411764705883,24.176470588235293,0.1176470588235294,0.0588235294117647,0.0588235294117647,2.3529411764705883,71.1,4.18235294117647,Brenton Strange,2024.0,5.6,6.933966666666666,2.9899777594156767,7.641463522012579,14.939002032208707,12.2,16.2,71.42767295597484,124.0,0.6,4.320095454545454,3.5618484140357025,0.7582470405097513,85.0
Brock Bowers,LV,TE,22.0,17.0,16.0,112.0,1194.0,5.0,10.660714285714286,0.0,0.0,2024,1.0,0.9411764705882352,1.0,0.0,117.0,6.588235294117647,70.23529411764706,0.2941176470588235,0.0,0.0,6.882352941176471,206.7,12.158823529411764,Brock Bowers,2024.0,9.625,6.450225376438079,3.317731288336648,6.324095005790777,24.98756751172343,13.6875,18.6875,73.15851581017021,145.5,0.625,5.317731315559441,4.398392019197878,0.9193392963615624,89.0
Cade Otton,TB,TE,25.0,14.0,14.0,59.0,600.0,4.0,10.169491525423728,2.0,1.0,2024,0.8235294117647058,1.0,0.0,0.0,60.0,4.214285714285714,42.85714285714285,0.2857142857142857,0.1428571428571428,0.0714285714285714,4.285714285714286,111.1,7.935714285714285,Cade Otton,2024.0,6.666666666666667,5.953940917107584,2.864449114349325,4.709599297573436,18.235918801325223,12.0,17.333333333333332,68.63180242490587,114.11111111111111,0.8888888888888888,4.2337625100887815,3.441658776843634,0.7921037332451468,88.0
Chigoziem Okonkwo,TEN,TE,25.0,17.0,11.0,52.0,479.0,2.0,9.211538461538462,2.0,1.0,2024,1.0,0.6470588235294118,0.0,0.0,53.0,3.0588235294117645,28.176470588235293,0.1176470588235294,0.1176470588235294,0.0588235294117647,3.117647058823529,85.60000000000001,5.03529411764706,Chigoziem Okonkwo,2024.0,0.0,6.797199999999999,4.060949185072256,5.784571428571427,9.838375788440418,52.0,70.0,74.28571428571429,483.0,2.0,5.187115384615386,4.179482266654736,1.0076331179606504,85.0
Dallas Goedert,PHI,TE,29.0,10.0,10.0,42.0,496.0,2.0,11.80952380952381,2.0,0.0,2024,0.5882352941176471,1.0,0.0,0.0,42.0,4.2,49.6,0.2,0.2,0.0,4.2,82.6,8.26,Dallas Goedert,2024.0,7.0,5.8826265969802565,3.776569081222862,6.029667415917416,18.422212477565047,10.857142857142858,13.142857142857142,83.6921411921412,127.71428571428572,0.2857142857142857,5.921928571428572,5.382825959923626,0.5391026115049465,88.0
Dalton Kincaid,BUF,TE,25.0,13.0,9.0,44.0,448.0,2.0,10.181818181818182,1.0,0.0,2024,0.7647058823529411,0.6923076923076923,0.0,0.0,44.0,3.3846153846153846,34.46153846153846,0.1538461538461538,0.0769230769230769,0.0,3.3846153846153846,78.80000000000001,6.061538461538462,Dalton Kincaid,2024.0,7.545454545454546,5.644511544011544,3.4538352759623434,9.080554112554111,24.104548566927747,7.363636363636363,12.909090909090908,55.50649350649351,75.27272727272727,0.3636363636363636,6.045555096418733,5.251780997786796,0.7937740986319372,86.0
Dalton Schultz,HOU,TE,28.0,17.0,13.0,53.0,532.0,2.0,10.037735849056604,0.0,0.0,2024,1.0,0.7647058823529411,0.0,0.0,53.0,3.117647058823529,31.294117647058822,0.1176470588235294,0.0,0.0,3.117647058823529,91.7,5.394117647058824,Dalton Schultz,2024.0,8.363636363636363,6.772794148380355,3.2027511380037663,7.40598714031067,15.709700658749016,8.181818181818182,13.545454545454543,57.67061370002546,79.18181818181819,0.3636363636363636,4.146196112064037,3.660974689531197,0.4852214225328396,86.0
David Njoku,CLE,TE,28.0,11.0,11.0,64.0,505.0,5.0,7.890625,0.0,0.0,2024,0.6470588235294118,1.0,0.0,0.0,64.0,5.818181818181818,45.90909090909091,0.4545454545454545,0.0,0.0,5.818181818181818,112.5,10.227272727272728,David Njoku,2024.0,8.818181818181818,6.559407789180517,3.2526439352698344,4.886042378684586,15.601982529664006,11.545454545454543,17.363636363636363,67.1346361340297,90.54545454545456,0.9090909090909092,4.384465954184704,3.470347876449506,0.9141180777351976,85.0
Evan Engram,DEN,TE,30.0,9.0,9.0,47.0,365.0,1.0,7.76595744680851,1.0,1.0,2024,0.5294117647058824,1.0,0.0,0.0,47.0,5.222222222222222,40.55555555555556,0.1111111111111111,0.1111111111111111,0.1111111111111111,5.222222222222222,64.0,7.111111111111111,Evan Engram,2024.0,8.666666666666666,6.574270219198791,3.865844796063021,5.14490834435626,15.423411861721265,10.333333333333334,13.77777777777778,77.14561287477954,80.55555555555556,0.2222222222222222,3.565021332883036,4.139895555571756,-0.5748742226887199,17.0
George Kittle,SF,TE,31.0,15.0,15.0,78.0,1106.0,8.0,14.17948717948718,0.0,0.0,2024,0.8823529411764706,1.0,1.0,0.0,78.0,5.2,73.73333333333333,0.5333333333333333,0.0,0.0,5.2,197.6,13.173333333333336,George Kittle,2024.0,8.583333333333334,5.281526872737399,3.668723241112197,8.318241465439604,22.92334963942588,12.166666666666666,14.583333333333334,84.82825340538106,173.0,1.1666666666666667,7.12962065018315,5.109345686604235,2.0202749635789155,85.0
Hunter Henry,NE,TE,30.0,16.0,16.0,66.0,674.0,2.0,10.212121212121213,0.0,0.0,2024,0.9411764705882352,1.0,0.0,0.0,66.0,4.125,42.125,0.125,0.0,0.0,4.125,112.4,7.025,Hunter Henry,2024.0,8.4,6.273031746031746,2.828686910379104,7.319477376861397,26.27345991718349,11.9,17.1,71.13745704467354,123.8,0.4,4.708608225108225,4.895758014984876,-0.1871497898766509,85.0
Isaiah Likely,BAL,TE,24.0,16.0,9.0,42.0,477.0,6.0,11.357142857142858,1.0,1.0,2024,0.9411764705882352,0.5625,0.0,0.0,42.0,2.625,29.8125,0.375,0.0625,0.0625,2.625,102.7,6.41875,Isaiah Likely,2024.0,8.6,7.421788249845392,4.522713542460685,8.867500574712645,20.96583358731225,12.6,17.6,69.98275862068965,147.8,1.6,6.841703174603175,5.4367758034640365,1.4049273711391383,80.0
Ja'Tavion Sanders,CAR,TE,21.0,16.0,8.0,33.0,342.0,1.0,10.363636363636363,1.0,0.0,2024,0.9411764705882352,0.5,0.0,0.0,33.0,2.0625,21.375,0.0625,0.0625,0.0,2.0625,56.7,3.54375,Ja'Tavion Sanders,2024.0,9.0,6.677766666666666,4.712051501060864,5.57377142857143,21.19119751912616,4.2,5.6,74.28571428571429,49.0,0.0,7.2234,6.297982136778828,0.9254178632211716,0.0
Jake Ferguson,DAL,TE,25.0,14.0,14.0,59.0,494.0,0.0,8.372881355932204,4.0,2.0,2024,0.8235294117647058,1.0,0.0,0.0,59.0,4.214285714285714,35.285714285714285,0.0,0.2857142857142857,0.1428571428571428,4.214285714285714,74.9,5.3500000000000005,Jake Ferguson,2024.0,7.909090909090909,5.999426751523767,3.3505632949325315,3.7762797767771343,9.702643489163394,10.0,14.454545454545457,70.04827800810887,84.63636363636364,0.0,5.44783879961846,5.015810656519056,0.4320281430994047,87.0
Jonnu Smith,MIA,TE,29.0,17.0,6.0,88.0,884.0,8.0,10.045454545454543,2.0,1.0,2024,1.0,0.3529411764705882,0.0,0.0,90.0,5.176470588235294,52.0,0.4705882352941176,0.1176470588235294,0.0588235294117647,5.294117647058823,178.3,10.488235294117649,Jonnu Smith,2024.0,9.666666666666666,6.442919011544011,3.433897785216048,5.34570652958153,19.902943815195624,13.666666666666666,17.0,81.83658496158496,135.66666666666666,1.1666666666666667,5.741363906926407,5.220683821445527,0.5206800854808792,9.0
Juwan Johnson,NO,TE,28.0,17.0,5.0,50.0,548.0,3.0,10.96,2.0,0.0,2024,1.0,0.2941176470588235,0.0,0.0,50.0,2.9411764705882355,32.23529411764706,0.1764705882352941,0.1176470588235294,0.0,2.9411764705882355,97.8,5.752941176470589,Juwan Johnson,2024.0,10.571428571428571,5.953925438596492,3.452969706638038,7.396589363017934,17.48954157961911,11.285714285714286,15.142857142857142,74.70006184291898,118.42857142857144,0.5714285714285714,4.68382380952381,4.52720165099826,0.1566221585255486,83.0
Kyle Pitts,ATL,TE,24.0,17.0,15.0,47.0,602.0,4.0,12.808510638297872,0.0,0.0,2024,1.0,0.8823529411764706,0.0,0.0,47.0,2.764705882352941,35.411764705882355,0.2352941176470588,0.0,0.0,2.764705882352941,107.7,6.335294117647059,Kyle Pitts,2024.0,7.777777777777778,6.018100389863547,3.4564071517489072,10.027079496162829,21.30910405944479,8.777777777777779,13.666666666666666,63.56940273606941,120.88888888888889,0.7777777777777778,8.535823764493976,6.011349439176623,2.524474325317354,8.0
Mark Andrews,BAL,TE,29.0,17.0,13.0,55.0,673.0,11.0,12.236363636363636,0.0,0.0,2024,1.0,0.7647058823529411,0.0,0.0,59.0,3.235294117647059,39.588235294117645,0.6470588235294118,0.0,0.0,3.4705882352941178,161.3,9.488235294117649,Mark Andrews,2024.0,9.333333333333334,5.392184156378601,3.474924730985562,10.043712157809985,21.795260311242355,10.333333333333334,13.0,80.86726478030826,120.55555555555556,1.8888888888888888,3.143368686868687,3.2883253070663208,-0.1449566201976335,89.0
Mike Gesicki,CIN,TE,29.0,17.0,3.0,65.0,665.0,2.0,10.23076923076923,1.0,1.0,2024,1.0,0.1764705882352941,0.0,0.0,65.0,3.823529411764706,39.11764705882353,0.1176470588235294,0.0588235294117647,0.0588235294117647,3.823529411764706,109.0,6.411764705882353,Mike Gesicki,2024.0,8.88888888888889,5.393633327183555,2.9989363171844223,7.980838427785214,20.692216920644697,12.77777777777778,16.333333333333332,79.41134910010413,134.77777777777777,0.4444444444444444,4.43709829059829,4.883397773373954,-0.4462994827756623,88.0
Noah Fant,SEA,TE,27.0,14.0,9.0,48.0,500.0,1.0,10.416666666666666,0.0,0.0,2024,0.8235294117647058,0.6428571428571429,0.0,0.0,48.0,3.4285714285714284,35.714285714285715,0.0714285714285714,0.0,0.0,3.4285714285714284,80.0,5.714285714285714,Noah Fant,2024.0,10.714285714285714,5.415686674669868,4.362242920400754,5.365696003401361,13.76377096805582,10.714285714285714,14.285714285714286,75.8843537414966,113.42857142857144,0.2857142857142857,6.849863095238095,5.3453287852274745,1.50453431001062,87.0
Pat Freiermuth,PIT,TE,26.0,17.0,11.0,65.0,653.0,7.0,10.046153846153846,3.0,2.0,2024,1.0,0.6470588235294118,0.0,0.0,65.0,3.823529411764706,38.41176470588236,0.4117647058823529,0.1764705882352941,0.1176470588235294,3.823529411764706,135.8,7.988235294117648,Pat Freiermuth,2024.0,10.0,7.701877785596997,3.548578079952358,6.42140318015318,23.125466788002264,14.0,17.428571428571427,75.81478045763761,140.0,1.5714285714285714,4.162102040816326,3.1801287354508907,0.9819733053654351,88.0
Sam LaPorta,DET,TE,23.0,16.0,16.0,60.0,726.0,7.0,12.1,0.0,0.0,2024,0.9411764705882352,1.0,0.0,0.0,60.0,3.75,45.375,0.4375,0.0,0.0,3.75,144.60000000000002,9.0375,Sam LaPorta,2024.0,11.272727272727272,5.902698412698413,3.3525183568892447,7.369139545193762,22.246287770223912,9.818181818181818,13.727272727272728,70.53278047253951,113.1818181818182,1.181818181818182,4.7551103896103895,3.8378400114708953,0.9172703781394944,87.0
T.J. Hockenson,MIN,TE,27.0,10.0,9.0,41.0,455.0,0.0,11.097560975609756,0.0,0.0,2024,0.5882352941176471,0.9,0.0,0.0,41.0,4.1,45.5,0.0,0.0,0.0,4.1,66.0,6.6,T.J. Hockenson,2024.0,12.77777777777778,6.285701668701669,3.2320811175628794,8.747648574842124,19.169161352440785,8.555555555555555,13.0,64.72862263184844,96.66666666666669,0.0,4.019464543812104,3.879776930068856,0.1396876137432476,87.0
Theo Johnson,NYG,TE,23.0,12.0,11.0,29.0,331.0,1.0,11.413793103448276,0.0,0.0,2024,0.7058823529411765,0.9166666666666666,0.0,0.0,29.0,2.4166666666666665,27.58333333333333,0.0833333333333333,0.0,0.0,2.4166666666666665,53.6,4.466666666666667,Theo Johnson,2024.0,9.8,5.6678,4.345204982160733,6.350133333333333,17.85409648090964,4.0,5.6,73.33333333333333,45.8,0.2,6.023866666666667,5.361535650886415,0.6623310157802514,84.0
Travis Kelce,KC,TE,35.0,16.0,16.0,97.0,823.0,3.0,8.484536082474227,2.0,1.0,2024,0.9411764705882352,1.0,1.0,0.0,98.0,6.0625,51.4375,0.1875,0.125,0.0625,6.125,146.9,9.18125,Travis Kelce,2024.0,9.5,6.323083856619571,3.45585866794652,6.587849546808664,26.39345075438959,13.428571428571429,18.214285714285715,74.61038856715548,114.21428571428572,0.4285714285714285,3.767231876943217,4.247844904511812,-0.4806130275685947,87.0
Trey McBride,ARI,TE,25.0,16.0,16.0,111.0,1146.0,2.0,10.324324324324325,0.0,0.0,2024,0.9411764705882352,1.0,1.0,0.0,112.0,6.9375,71.625,0.125,0.0,0.0,7.0,188.3,11.76875,Trey McBride,2024.0,8.733333333333333,5.005360786435786,3.414773836351976,6.717492243867245,28.87440902984454,14.4,19.066666666666663,75.97436954579811,149.13333333333333,0.2666666666666666,4.724996067496067,4.025173206943069,0.6998228605529988,85.0
Tucker Kraft,GB,TE,24.0,17.0,17.0,50.0,707.0,7.0,14.14,1.0,1.0,2024,1.0,1.0,0.0,0.0,53.0,2.9411764705882355,41.588235294117645,0.4117647058823529,0.0588235294117647,0.0588235294117647,3.117647058823529,136.3,8.01764705882353,Tucker Kraft,2024.0,9.0,6.518411206587898,4.751311360412029,5.0994943310657606,11.959578354099948,11.0,15.571428571428571,69.65986394557822,148.14285714285714,1.5714285714285714,8.583490476190475,6.163692470854207,2.4197980053362684,85.0
Tyler Conklin,LAC,TE,29.0,16.0,15.0,51.0,449.0,4.0,8.803921568627452,0.0,0.0,2024,0.9411764705882352,0.9375,0.0,0.0,52.0,3.1875,28.0625,0.25,0.0,0.0,3.25,94.4,5.9,Tyler Conklin,2024.0,9.0,6.767847718253969,4.170855184820712,5.948426587301587,15.444007100826422,10.75,15.0,72.7827380952381,99.375,0.625,5.998122549019607,6.038626481396068,-0.0405039323764599,83.0
Tyler Higbee,LAR,TE,31.0,3.0,3.0,8.0,66.0,2.0,8.25,0.0,0.0,2024,0.1764705882352941,1.0,0.0,0.0,8.0,2.6666666666666665,22.0,0.6666666666666666,0.0,0.0,2.6666666666666665,22.6,7.533333333333334,Tyler Higbee,2024.0,18.0,4.930000000000001,3.298474844864358,1.1828571428571435,4.250731557061453,5.0,7.0,71.42857142857143,46.0,1.0,7.064,5.317162351078059,1.7468376489219413,89.0
Zach Ertz,WAS,TE,34.0,17.0,17.0,66.0,654.0,7.0,9.909090909090908,1.0,0.0,2024,1.0,1.0,0.0,0.0,66.0,3.882352941176471,38.47058823529412,0.4117647058823529,0.0588235294117647,0.0,3.882352941176471,140.4,8.258823529411766,Zach Ertz,2024.0,9.166666666666666,6.509979663241712,3.470884300906714,7.539814005439005,20.067817806817725,9.833333333333334,13.833333333333334,72.29936729936729,96.16666666666669,1.1666666666666667,3.143303571428571,3.283290175537861,-0.1399866041092901,86.0
